# command:
# git-check-rebase --meta rebase_3.10.0-1160.66.1.el7_rh7-3.10.0-1160.76.1.el7.meta --rows-hide-level show_all --columns full vz7.188.x:rh7-3.10.0-1160.66.1.el7..rh7-3.10.0-1160.66.1.vz7.188.11 vz7.189.x:rh7-3.10.0-1160.76.1.el7..2a709cd369f2 > rebase_3.10.0-1160.66.1.el7_rh7-3.10.0-1160.76.1.el7.log
#

<tag>  vz7.188.x     vz7.189.x     SUBJECT
match  481de6cd2dc0  2aed0c2820d6  Revert RHBZ#1506437
match  c66b9a0dae45  2e6a1c2a6a8c  Revert RHBZ#1822405
match  23dd4eb772e9  ba5e927d94ee  Revert RHBZ#1489573 patches
match  fa18ce9be747  8c577d434f68  Revert RH "mm: do not stall register_shrinker()"
match  826fbdf4623a  cb5a005d1029  KBUILD: build should fail on modpost errors for external modules
match  0309c10b9888  dbb8eb71f26d  MS/TTY: TIOSAK Secure Attention Key ioctl
match  f89c65e3d19e  15e193985a3d  ms/tty/ppc: define TIOSAK (fix tty_ioctl() compilation)
match  2b8c85535371  02619d7aeeb0  ms/tty: Fix potential use after free in release_one_tty
match  d816cd5059d8  f47eb2c257d8  MS/IDLE: add boot param to forcibly enable intel auto demotion
match  3711b2b7f0d8  3160f82b22b0  MS/DEVICE: input_mutex isn't static now
match  a4e44d3d1681  8025849a3876  MS/KBD: add file kbd_bind in sysfs, which allow unbind keyboard from tty (v2)
match  bb654c24cf26  e679cee750bc  ms/idr: print a stack dump after ida_remove warning
match  3bc36fa5629e  3ce81c0736e8  ms/module: remove rmmod --wait option.
match  42a91f1e2223  ebc0635f8db6  ms/kcmp: fix standard comparison bug
match  758beb5a09c4  cd3a20419417  x86/SYSCALL: remove sys32 vm86 warning
match  870a1118d71e  4c2fe23496ce  Kconfig: introduce kernel/Kconfig.openvz
match  46734af21771  0d4489ad563a  Kconfig: Kconfig.openvz includes in arch
match  5f9fcf4ffbf6  383706d7d569  Initial patch commit + compilation fixes: commit messages history
match  21ca41e468ae  c4f6184e7a06  headers: inclusion
match  b4f96b40bfa7  6d65509b4c56  devcgroup: initial patch
match  7ab33195127e  15c283a374c2  ve/devcgroup/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  8989d02f1cbe  9fb348408b31  capabilities: correct descriptions
match  b962ded6ce42  622288abced9  ve/device_cgroup: fake allowing all devices for docker inside VZCT
match  621433adaa09  9d9e1d624186  ve/device_cgroup: allow to change device mount permission via cgroup
match  627b8b110bd5  f97d0b3722ba  ve/device_cgroup: kill ACC_QUOTA permission
match  93c4befd555b  b732aea8958d  vzwdog: initial patch
match  bd1c7e80b99b  bb524e397ff5  vzdev: initial patch
match  359db1c344c1  cdf512538d45  Revert: rh/kmod: use system_unbound_wq instead of khelper
match  775945c70f69  20306021efdd  cgroup: initial patch
match  d507fa32e333  d840946dc116  ms/cgroup: reorder the operations in cgroup_destroy_locked()
match  7f81a15f82cb  b17362664d28  ms/cgroup: split cgroup destruction into two steps
match  ba25ea73271b  4ea91418f602  ms/cgroup: use percpu refcnt for cgroup_subsys_states
match  ee01b267eafb  3f30f7baf197  ms/cgroup: switch to new percpu_ref API
ok     105372d9474a  dd1a8ce54da3  ve: Add VZVERSION suffix to kernel release
match  4e0792d40183  1431fcd41d3a  ve/sysinfo: don't clean uptime, procs and loads in containers
match  e5ac856e02f6  6e17521ba56f  ve: Prohibit containers add random entropy
match  7f7315c28087  d097fe3594cf  ve: Add ve syscalls numbers
match  2f0d1c960a53  295b21d0bd2f  ve/ppc: wire OpenVZ-specific syscalls
match  45c44e6e7fae  b1075d2882a7  ve: Use ve_printk() for often kernel messages about user actions
match  257b60b90809  437d6b068721  ve: Implement per ve randomize_va_space
match  399b45898c78  9f139066fa75  ve: Virtualize /proc/swaps to watch from inside CT
match  bc0239823c51  bfbf2f073f11  ve: Virtualize /proc/cmdline
match  83642c184688  18406a60856c  ve: Virtualize devpts superblock
match  67692e3b5484  db7df9509f34  ve: Add virtinfo subsys
match  a1bc785be099  d2d727cde067  ve: Prohibit module load and usermode_helper from inside CT
match  386844de52b6  0ff3272523a5  ve: Use ve_relative_clock in times() syscall and /proc/[pid]/stat
match  f9aa6cab2e39  e117d2d29dc8  ve: Customize VE uptime
match  efefdbc95329  f5d6ec9f1348  ve: Replace 0 ppid with 1 (workaround for bad utils)
match  cac12a251410  68d1a1e97af4  ve: Virtualize sysinfo
match  7559f8582eec  a28cfb74b255  ve: allow user ns in chroot
match  d6bcb069b5ad  2ae5c5a48e8a  ve/userns: associate user_struct with the user_namespace
ok     f2868b6d0dd3  1c7b22d4f270  ve: initial patch
                                     (two commits with identical subject - to be merged on next rebase)
ok     f2868b6d0dd3  70866697cc80  ve: initial patch
                                     (two commits with identical subject - to be merged on next rebase)
match  636b8f0ddf60  39c3eaf86a7c  ve/mm: print OOM info to VE log
match  6a85a99f9303  b5cf2c767ef6  ve/mm/trace: introduce vps_dumpable flag
match  71ab309cf45e  415cdc84c338  ptrace: prevent tracing "init" from inside a CT
match  d0a051499c82  c4cc44e2ad3a  ve/devmnt: Introduce ve::devmnt list
match  f82e0c528d29  5582fc8028f4  ve/fs/devmnt: process mount options
match  7f5a3c3527ae  292614991eef  ve/devmnt: Add a ability to show ve.mount_opts
match  f8564909edec  53e24808b102  uts: Add virt_utsname and /proc/sys/kernel/virt_osrelease entry
match  898b62d53446  1cb64836bdae  ve/uts_ns: Implement cgroup interface to configure ve's os_release
match  582ce2b8be15  3e79a1fe60a5  ve: Port diff-ve-allow-taskstats-netlink-in-netns
match  41c54cb9b1d3  4d2bc813570d  ve/taskstats: allow delivery of task attributes in CT context
match  aaf88683aa97  7fc9be41567e  ve/lockdep: Port diff-lockdep-taint-kernel-on-circular-locking-complains
match  e4e1b4e45128  ff6813b189b5  ve: Add support of features mask
match  6a821744201f  dd5e8be79a95  ve: Add support of iptables mask
match  a4d2b8ab117e  a1543c248591  ve/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  57124c2e9c84  4d3a952e477a  ve/itimer: add ve_name to warning for a NULL new_value
match  ea98dd29e16e  fb52b8692d09  ve: Implement current_user_ns_initial() helper
match  083bcdc77b89  20eef9f20391  vecalls: fix VZCTL_GET_CPU_STAT uptime_jif scale
match  92a685e863e7  ac501ec33a5d  ve: introduce ve_init_user_ns() helper
match  8ecea4916767  8e84328b3143  ve/acct: Allow process accounting in containers
match  7fc914eb9d4e  a5da6255f5f0  ve/kernel: allow to increase rlimit from inside container
match  60af21194fad  494f507eee5b  ve/cgroup: Add pseudosuper state for restore sake
match  d283e7d69677  3d7c0b17abe9  ve/security: device_cgroup -- Allow manage devices in @pseudosuper state
match  2c382a8fd902  c4dcf58cca1c  VE: convert khelper_wq to kthread_worker
match  74391c7f3719  70843281eae3  ve/cgroups: fake num_cgroups in /proc/cgroups output
match  8bc5617b7ede  4556902e9c3d  cgroup: Mark cgroup CGRP_VE_ROOT
match  2007f038ebd5  da5f5ddf8601  ve/cgroup: Mangle cgroups root from inside of VE view
match  1ad865facd06  14702bbc66d6  ve/cgroup: do not virtualize output of cgroup_path
match  0cdfe6253b8e  b950f3957fc2  ve/cgroup: Allow to write to several safe cgroup files from CT
match  d98545b239c6  aa858647e506  ve/cgroups: Introduce subgroups_limit control
match  3e1a04324cd0  39226ada3b93  ms/net/RDS: verify the underlying transport exists before creating a connection
match  fb6f39b514b6  6c49ad3216cc  ms/netlabel: fix the netlbl_catmap_setlong() dummy function
match  d1afe40fdf09  5ba3972e98f9  netns: export net_assign_generic()
match  bdcbd0e86fe3  34d7b23506ab  net: Make sit feature optional
match  b4ec57a5bec9  1e9065e082c8  net: Make ipip feature optional
match  c3c1de319128  79f247f3f8ee  net: Add sysctl_tcp_use_sg to disable NETIF_F_SG sk route capability
