<tag>  vz7.189.x     vz7.190.x     SUBJECT
match  2aed0c2820d6  41efb1fec679  Revert RHBZ#1506437
match  2e6a1c2a6a8c  8339f2ad9301  Revert RHBZ#1822405
match  ba5e927d94ee  e91f7be655da  Revert RHBZ#1489573 patches
match  8c577d434f68  f0d77705a053  Revert RH "mm: do not stall register_shrinker()"
match  cb5a005d1029  2860dd5bf7f8  KBUILD: build should fail on modpost errors for external modules
match  dbb8eb71f26d  c25569f5d660  MS/TTY: TIOSAK Secure Attention Key ioctl
match  15e193985a3d  4dd1ea5fbd0e  ms/tty/ppc: define TIOSAK (fix tty_ioctl() compilation)
match  02619d7aeeb0  eb1b9149de53  ms/tty: Fix potential use after free in release_one_tty
match  f47eb2c257d8  3434a6a0dca0  MS/IDLE: add boot param to forcibly enable intel auto demotion
match  3160f82b22b0  188a8e15d828  MS/DEVICE: input_mutex isn't static now
match  8025849a3876  0e1908ebd609  MS/KBD: add file kbd_bind in sysfs, which allow unbind keyboard from tty (v2)
match  e679cee750bc  1fac515a9b1d  ms/idr: print a stack dump after ida_remove warning
match  3ce81c0736e8  433c2feafd4f  ms/module: remove rmmod --wait option.
match  ebc0635f8db6  286d027e0dcf  ms/kcmp: fix standard comparison bug
match  cd3a20419417  e5347f91de6e  x86/SYSCALL: remove sys32 vm86 warning
match  4c2fe23496ce  45b7c1bf907a  Kconfig: introduce kernel/Kconfig.openvz
match  0d4489ad563a  83b7f136df34  Kconfig: Kconfig.openvz includes in arch
match  383706d7d569  62713149c954  Initial patch commit + compilation fixes: commit messages history
match  c4f6184e7a06  d5db4758ca06  headers: inclusion
match  6d65509b4c56  a7771fcb62f1  devcgroup: initial patch
match  15c283a374c2  2eb811e06540  ve/devcgroup/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  9fb348408b31  e20189ec3af5  capabilities: correct descriptions
match  622288abced9  a4984f6dd97e  ve/device_cgroup: fake allowing all devices for docker inside VZCT
match  9d9e1d624186  58d6e746dd4e  ve/device_cgroup: allow to change device mount permission via cgroup
match  f97d0b3722ba  faef3710a9b6  ve/device_cgroup: kill ACC_QUOTA permission
match  b732aea8958d  c91d904ce80f  vzwdog: initial patch
