# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  7433a743abc5  17c247acbe7d  net/ipv4/udp_diag.c: author email updated
ok     c41c4907b281  0b92a3892c78  ve: Add ve cgroup and ve_hook subsys
match  920fb909c1c7  8cf36c44d514  ve: Link net and ve_struct
ok     1f33ee0d3281  23b1c167437b  ve: Add veowner
match  9882c509eae6  6e79b00a3489  kernel/ve: capable_setveid() helper added
ok     bf266aa1ab5b  d63278081988  net: Add NETIF_F_VIRTUAL feature to mask devices allowed in CT
match  3f9247ec73c1  08f5f02625c1  vzdev: initial patch
match  d67c8529e0b3  d566fa7b323a  Makefile: make VZVERSION evaluated dynamically
match  d25803f105ea  0ec379a6c2dc  printf: Add VZVERSION and task_ve_name() to dump_stack_print_info()
match  fd6ecdf5a59a  3c8aae1883cb  ve: Add vecalls
ok     0ad1d394e624  b8f4445bc741  mm/fuse/oom: Show writeback_temp stats in oom message
ok     c2ba02ff1ba1  7e5fd4ac1cfb  ms/psi: Move PF_MEMSTALL out of task->flags
ok     9bc6cfe74a2c  45c74332ca93  mm/vmscan: Introduce PF_MEMCG_RECLAIM task flag to identify memcg reclaim.
match  f430772f6420  1510c612644c  Revert "kref: Remove kref_put_spinlock_irqsave()"
ok     f3d433b97b46  38ab41bac67e  mm: introduce transcendent file cache
                                     (ok, but it revealed another potential issue: PSBM-133176)
ok     6a17a11690d0  d1bb7f546620  memcg: allow to disable cleancache per memcg
match  e7260876be4f  7bedb3821d63  mm: make task with TIF_MEMDIE die faster
match  72e90a8f0264  a7538ac62de5  mm: transcendent swap cache
ok     066061e6ffe7  956702eeecd3  meminfo: show size of tcache
match  237f0dfd12a6  0d672302b2b3  meminfo: show size of tswap
match  aa0a48e58a5a  25736ae80224  ve/mm/cleancache: count only successful put in the cleancache_puts counter
match  170dcd46e616  1020de8390b3  tswap: Add optimization for zero-filled pages
match  0de82d5e5f3d  f328719a565e  memcg: do not allow to disable oom from inside a container
ok     12ef9a936f0a  29381b889a16  ve/mm,oom: print information about ve of killed task
match  ccafcbb8aa7e  cdb9c2a075e8  cgroups: export some helpers for future use by venet
match  ec6a39b5ca8b  c75a71ab84cb  kernel/ve: export ve_cgrp_subsys
match  8b97bc81c82b  91b1b5d42cbb  net/socket: export move_addr_to_kernel helper
ok     aa15993213c2  0958c6f9f54c  veip: initial patch
match  81a4736cd229  c65299536c7d  drivers/net/ve: venet network device introduced
match  ebcf203aca3c  9c74c97b725c  net: optimized skb forwarding for venet
match  723ce4b71a42  1de3ea7b95b7  ve/net,netfilter: Adjust REDIRECT target on venet device
match  aaab82447457  09b9c2d250ac  ve/veth: don't drop skb->mark if NETIF_F_VENET is set
match  8c9b7bfd43b1  5acc29df03da  vzevent: initial patch
match  3fb0d0385013  a1b771ee4500  ve/cred: add ve_capable to check capabilities relative to the current VE (v2)
ok     74629f2b518d  c03c6a4a3cd9  ve/cgroup: Add pseudosuper state for restore sake
match  de6526da764d  e2210f559018  kernel/ve: Add support of VE features mask
match  3ff8dba3d7e7  772d71db02ff  net: Make sit feature optional
match  5ab3aa3c8f9e  65abe973cc1d  net: Make ipip feature optional
match  d8a254783401  9ea1aa4a9b0d  ve/bridge: br_dev_init: check if "bridge" feature is enabled
match  bd1730e9c5d5  1a342514bf59  ve/net/ppp: introduce VE_FEATURE_PPP feature
ok     a98e9521f549  9ac7cae8fc52  cgroup: Mark cgroup CGRP_VE_ROOT
match  dddc8c4feb6d  8b8ce66e3160  ve/cgroup: Allow to write to several safe cgroup files from CT
ok     eb5640b7f467  c190bb70008a  ve/cgroups: Introduce subgroups_limit control
match  76b1ac4f7f42  b8fcff1b0153  ve/cgroups: fake num_cgroups in /proc/cgroups output
match  b3282d4457a1  59f5aac19224  ve/printk: printk virtualization
match  4dc902d64500  50a6a6e561d5  ve/printk: per-CT printk helpers introduced
match  b70d6eb1d680  0bc2a3270756  ve: Use ve_printk() for often kernel messages about user actions
ok     61bfc9813cfc  d5126c813a2c  ve: use ve_printk() to print VMA address in case of segfault
match  becb83bcafde  cd38b6d60dcf  ve/netfilter: use ve_printk for BUGPRINT in ebtables
match  44d5a4c1c7e1  f46fcfd77931  ve: network rate-limited VE logging helpers intorduced
match  2ae7ca8b9bfc  3b97df553906  ve/netfilter: ve_printk for "nf_conntrack: table full"
ok     0cbefeac67e3  cd2ebe7bf8e9  ve/net: restrict ethtool to CT root userns and prohibit EEPROM change
match  e160204c71bb  fc1491484bdc  ve: Implement per ve randomize_va_space
match  d1587fb55fb9  463bd41484fb  ve: Virtualize /proc/cmdline
match  db2e77120185  85adbc791fa2  ve: Prohibit module load and usermode_helper from inside CT
match  d9e4aab71279  cbf9af0566f7  ve: Add support of iptables mask
match  560568ea96f3  b6e63024dd28  ve: Implement current_user_ns_initial() helper
match  989dcb398f41  b1e8d1d68be4  ve: introduce ve_init_user_ns() helper
ok     2717857990bb  c7749ff96dce  ve: allow mounts in non-init but VE-init user namespace
match  29dc978ef312  3370f50109fb  sched: Add ve name to sched_show_task()
match  205e0222c488  450d91b4fec3  sched: disable dumping cfs info on sysrq trigger
match  df8e0024f622  575bfd5a6b04  kernel: Account nr_zombie and nr_dead
match  7880d12950fb  18b5597c6411  sched: Count rq::nr_sleeping and cfs_rq::nr_unint
match  4c70a2805322  6cfd66428231  sched: Account cfs_rq::nr_iowait
match  463cdaa296da  005e7d024a76  sched: Add primitives to calculate nr running, sleeping, stopped and uninterruptible tasks
ok     6d716d983506  6240eb87ac4c  device_cgroup: add device visibility virtualization in CT
match  c18bc11f0753  b499beef9378  ve/kernel: allow to increase rlimit from inside container
match  55eca0228050  96fa2ffead50  ve/net/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  82459391b21e  6b96f47f1dfd  ve/net/dummy: enable support in a container
match  a08f80438a61  64f96b6c3bd4  ve/net/ip_gre: containerize per-net devices
match  1932f92995ea  ab891c46c19e  ve/net: ip_vti: skip per net init in ve
match  42bd455ef58a  b95fb5fcb93a  ve/net/vxlan: enable support in a container
ok     a2992aaa9f23  54c63744780c  vzeth: bits and pieces of our interface
match  32ca721d241d  b1bdea949dfb  ve/uevent: Use own uevent_seqnum for every VE
match  1d0708d421f7  5f7ed5dde7f0  ve/kobj: Send events per VE instead of all net-namespaces broadcasting
match  abb5fdfb438b  b178ce7261de  ve/net: introduce vz_security_*_check checks
match  88f4125b3f96  b4d37675ef72  ve/quota: allow to manage quota in top CT user ns
match  26159fabb6f5  b9e3ee187d6d  sched: Split task_h_load()
ok     bab5eb034e9d  9537e33671a1  sched: Port CONFIG_CFS_CPULIMIT feature
ok     c9e34c106e13  9404b01ba21a  sched: Split tg_set_cfs_bandwidth() and export default_cfs_period()
match  aaabbde7b424  d0c68d47a315  sched: Add cpulimit cgroup interfaces
match  eef463e82dfd  098ef0683a17  sched: prohibit setting affinity from inside a CT
match  08fbf21d24e1  c10c99771ef2  sched: Return only virtual cpus in sched_getaffinity()
match  fd7ac9c3fded  2ca8f0b1e87b  oom: do not dump all tasks info on each oom kill
ok     84f6839e96f1  de05051fd677  exit: clear TIF_MEMDIE after exit_task_work
ok     afac60108d3c  f4084857ff59  memcg: add oom_guarantee
match  da07da2a665f  2508a6627d02  kernel/freezer: don't freeze stopped & about to be ptraced task
ok     8b07b1aab5dc  19725ce2999a  vzstat: Add base kstat structures and variables
match  a79eb71f03be  e5fcb7189733  mm: Export swap_cache_info struct and variable
match  e0fb535816c2  b2a560f7bd97  mm: Export first_online_pgdat() and next_online_pgdat()
match  26f86d14a704  fe4eab7a84c5  vzstat: Add vzstat module and kstat interfaces
ok     b7576247fb51  cd6d8c3b1ef5  vzstat,sched: Track sched_lat_ve
match  6c5ebe81d343  c76fba726ec9  kernel: Export tasklist_lock
match  247452fab9d0  32d335403cf1  vzstat: Update sched lat in vzmon
drop                 d2105ddb6c01  ve/devtmpfs: lightweight virtualization
                                     (added later: 5272c65b9910 ve/devtmpfs: lightweight virtualization)
ok     a7cdf32f1178  e7b537ff5c6c  fs: Mask appropriate filesystems FS_VIRTUALIZED
match  6b11a2efd768  60ecc067fb82  VE/FS: containerize filesystems access
match  f0ace170ef52  b69ccb764a8e  ve/fs/locks: Make CAP_LEASE work in containers
match  42a840db5840  675ad88acf9d  ve/fanotify: Use ve-capable instead of plain capable test
match  63d2e29a1307  fb4d5152654c  ve/fs/namei: fix capabilities check in sys_renameat2 () to support Containers
ok     e2e1942facce  6b127c572be1  ve/fs: add ve_capable to check capabilities relative to the current VE
match  57c3bb9592ec  b98680574fa8  ve/block: add ve_capable to check capabilities relative to the current VE
match  05c8449ea422  f1c34474e0a7  ve/uts_ns: Implement cgroup interface to configure ve's os_release
ok     33a4d66e449c  353db390d2a6  ve/netlink: allow IPVS netlink messages to CT init userns
match  23cececc6380  d48d6be1dea2  ve: Port diff-ve-allow-taskstats-netlink-in-netns
match  d011e7c692ea  4b6d59b68f9b  ve/taskstats: allow delivery of task attributes in CT context
