# command:
# git-check-rebase --meta rebase_5.14.0-42.el9_5.14.0-70.13.1.el9.meta --rows-hide-level show_all --columns full rhel9.beta:rh9-5.14.0-42.el9..rh9-5.14.0-42.vz9.15.3 rhel9.rtm:rh9-5.14.0-70.13.1.el9..rh9-5.14.0-70.13.1.vz9.16.1
#

<tag>  rhel9.beta    rhel9.rtm     SUBJECT
match  826c81f0bc96  d097778c0711  net/ipv4/udp_diag.c: author email updated
match  8300c0bf9369  6e9d2a371cd9  ve: Add ve cgroup and ve_hook subsys
match  6cb76563db9e  a9658ab8f816  ve: Link net and ve_struct
match  967084855b03  7ba6f4538f9c  ve: Add veowner: skeleton for vz specific sysctl and /proc/ entries
match  c45712b4c1a5  72cb34dd2662  net: Add NETIF_F_VIRTUAL feature to mask devices allowed in CT
match  6af7203a778f  4dfb3e5b8180  vzdev: initial patch
match  f55d143be423  190af0dc7e2a  Makefile: make VZVERSION evaluated dynamically
match  298a29860f12  a0057d8443c1  printf: Add VZVERSION and task_ve_name() to dump_stack_print_info()
match  459c30f2e969  78017a377a5f  ve: Add vecalls
match  e41a60eb95cf  707b77b1f172  mm/vmscan: Introduce PF_MEMCG_RECLAIM task flag to identify memcg reclaim.
match  e4fcacc3a7db  d20e70f90c24  memcg: allow to disable cleancache per memcg
match  fc515cb18317  1c3c79149e35  Revert "kref: Remove kref_put_spinlock_irqsave()"
match  9b31774842e0  4f3761e84b8b  mm: introduce transcendent file cache (tcache)
match  db4d3c1e5b8e  2431a42d2837  meminfo: show size of tcache
match  456029ba6f3e  53e7f353e3a3  ve/mm/cleancache: count only successful put in the cleancache_puts counter
match  e15d45b6990a  9860a09e18de  mm/vmscan: shrink tcache upfront everything else
match  dc48b6c5c728  4fb2abd20df8  vzevent: initial patch
match  28f937b6addc  1cae610c3e88  ve/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  4f3e9bb6761e  6c50f5991588  ve/cgroup: Add pseudosuper state for restore sake
match  e199e166f4ab  d734308d9484  kernel/ve: Add support of VE features mask
match  c5388f832c7b  02959e3d15f5  net: Make sit feature optional
match  a2e443b6e6e1  b77f2ed46c07  net: Make ipip feature optional
match  1bba1e0ff981  7e02e6b08229  ve/bridge: br_dev_init: check if "bridge" feature is enabled
match  a50cf85112ec  cf9b29553227  ve/net/ppp: introduce VE_FEATURE_PPP feature
match  e4b32e124dff  0c39d0e03ae4  cgroup: Mark cgroup CGRP_VE_ROOT
ok     dd361b5b622b  f95edb1cca15  ve/cgroup: Allow to write to several safe cgroup files from CT
match  fff2afc62c1d  69206bfc8c24  ve/cgroups: Introduce subgroups_limit control
match  57cf0f78ae85  5900a6c9d8d2  ve/cgroups: fake num_cgroups in /proc/cgroups output
match  aaa01f692602  bfb69f6013fa  fs: Introduce vfs_truncate2() with file argument
match  5255e881016c  efe3d6b89226  ploop: Export dm_complete_request()
match  eb353ab70927  6f331c764455  ext4: Care about reserves in case of IO thread
match  c7c8c377f33c  906203df7a40  dm: Call io_hints even for device-less drivers
ok     c16cd4ba983c  7d6ba53b93c4  dm-ploop: Add ploop target driver
match  0f0352ca8677  62b295404f43  configs: Build DM_PLOOP as a module
match  ede2fa77687d  bbcbe25eec69  dm: Introduce dm_requeue_original_rq()
match  eedfa7a4c449  1371894b11ed  dm: Allow singleton target with devices attached
ok     b135a58b3dc9  322a9d290e05  dm: Add push backup driver
match  1b994fb4441e  be484c8e46ad  dm: Add dm-tracking target
match  e2d4c5d481ac  c134e0b420dc  dm-ploop: Set PF_LOCAL_THROTTLE and PF_MEMALLOC_NOIO
match  601b88548593  2b0a69ab61fe  dm-qcow2: Introduce driver to create block devices over QCOW2 files
match  d536573a0b9d  922745f4c1f5  configs: Add more our dm configs
match  9ef0b1e501d2  f65f24e5218f  kmapset: set of key-value mappings with build-in
match  4e16e890e070  b969ba243120  ve/kernfs: implement ve-based permissions
match  0ec4e532afb2  2cb5a2640cb1  ve/kernfs: hide forbidden entries in container
match  efe97c480b0b  447a6c8a9795  ve/kernfs: add new interface to control per-VE nodes visibility
match  a983e7f2e4c2  6c03b21b962e  kernfs/sysfs: add ioctl to get fd network namespace tag
match  4d9b974c639f  7e9b464d41c7  ve/sysfs: add dentries visibility filter
match  30f4b8db6ebe  ed3ef738e325  ve/security: device_cgroup -- Allow manage devices in @pseudosuper state
match  594fe38c4722  157f8b10eb7d  ve: Implement current_user_ns_initial() helper
match  ca490bfa9c21  27c85b003978  ve/fs: allow devices-realted mounts in VE initial user namespace
match  c5ad317504a0  024e811dd3e7  ve/device_cgroup: fake allowing all devices for docker inside VZCT
match  30bf43a77b5a  cf22dc0645fa  ve/netns: limit number of network namespaces per container
match  187c8dff3f69  f7579fc2e3ee  ptrace: prevent tracing "init" from inside a CT
match  35e3ef560a60  f674652e005b  ve/mm/trace: introduce vps_dumpable flag
match  91f0c0d202f0  84345ff13de1  ve/net: restrict ethtool to CT root userns and prohibit EEPROM change
match  c17e681ef684  ee50bd40257c  ve: Implement per ve randomize_va_space
match  715ce9527a1d  9d66c4fa6f6c  ve: Virtualize /proc/cmdline
match  f6c82268288f  649f135f08aa  ve: Prohibit module load and usermode_helper from inside CT
match  c5e571b7b82a  95596622d14e  ve: introduce ve_init_user_ns() helper
match  350d4737db44  5620c4901425  ve: allow mounts in non-init but VE-init user namespace
match  9583727a384b  304e4a3df05f  sched: Add ve name to sched_show_task()
match  538f4572352a  bb87019f3824  sched: disable dumping cfs info on sysrq trigger
match  576ef5894a3c  fa00bb75ae82  kernel: Account nr_zombie and nr_dead
match  e63d4cf55689  bbd733437c12  sched: Count rq::nr_sleeping and cfs_rq::nr_unint
match  b62a1cad1fbc  3b2aeee66df2  sched: Account cfs_rq::nr_iowait
match  59e47aafd982  2b74e967cbc0  sched: Add primitives to calculate nr running, sleeping, stopped and uninterruptible tasks
match  8fd334cc5f13  4ad94674f020  sched: Split task_h_load()
ok     7b1380b92b5e  851acd2ea5d7  sched: Port CONFIG_CFS_CPULIMIT feature
match  796947073c6b  d95677c615a7  sched: Split tg_set_cfs_bandwidth() and export default_cfs_period()
