# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  cc054d6b8f51  2db8bb3d8777  net/ipv4/udp_diag.c: author email updated
ok     6ea0d5b4515b  4dacd8fd3797  ve: Add ve cgroup and ve_hook subsys
                                      (added header from later fix)
ok     8ee617a7de00  4dcaeacb55a8  ve: Link net and ve_struct
                                      (initialization moved from static struct to net_ns_init() function)
ok     19ad17993fca  0d6364322d7e  ve: Add veowner: skeleton for vz specific sysctl and /proc/ entries
ok     4957b6db08f3  2e19c67f492d  net: Add NETIF_F_VIRTUAL feature to mask devices allowed in CT
match  4719105403b4  6dfaf1001cbf  vzdev: initial patch
match  a281079f3285  c23058dddeaa  printf: Add VZVERSION and task_ve_name() to dump_stack_print_info()
match  291926f517b9  abc24813d605  ve: Add vecalls
match  d2595ed558ac  e4be09dcc9f8  mm/vmscan: Introduce PF_MEMCG_RECLAIM task flag to identify memcg reclaim.
match  a45695503e31  c7e80158ac77  memcg: allow to disable cleancache per memcg
match  dc5808813475  f310e3935429  Revert "kref: Remove kref_put_spinlock_irqsave()"
ok     c38fd1f65b10  406840754137  mm: introduce transcendent file cache (tcache)
                                      (page_cache_get_speculative() -> folio_try_get_rcu())
match  5a873f863c0d  8591261a63d1  meminfo: show size of tcache
match  cbb18e8cdfbe  ac83160dc709  ve/mm/cleancache: count only successful put in the cleancache_puts counter
match  6145d20d7411  e19742fe4df3  mm/vmscan: shrink tcache upfront everything else
match  e9afc5c739bb  979361142cd7  vzevent: initial patch
match  e6d2eb63c578  493704db685c  ve/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  71b3a49fc0d8  0a439d047799  ve/cgroup: Add pseudosuper state for restore sake
match  aeddfb863e4e  e78dac005c00  kernel/ve: Add support of VE features mask
match  fcd6de11f524  75efa5c219da  net: Make sit feature optional
match  6cd7c09d2f16  76dd7a4f0ea0  net: Make ipip feature optional
match  7d7ee00f73dd  59350486f7e0  ve/bridge: br_dev_init: check if "bridge" feature is enabled
ok     d7b7449cc18c  892d6991351c  ve/net/ppp: introduce VE_FEATURE_PPP feature
match  12a37b056b31  8d21249f1d5c  cgroup: Mark cgroup CGRP_VE_ROOT
match  3be693bc7e8f  11388fc13144  ve/cgroup: Allow to write to several safe cgroup files from CT
match  c15ea4759391  ab31146f90df  ve/cgroups: Introduce subgroups_limit control
ok     b86951d538e2  e8f120b2dd02  ve/cgroups: fake num_cgroups in /proc/cgroups output
match  f23e770007c8  7f3f41e07956  fs: Introduce vfs_truncate2() with file argument
match  cf1a5401fec2  02878fc3bc7e  ploop: Export dm_complete_request()
match  9267cfb1208e  d145242335bb  ext4: Care about reserves in case of IO thread
match  18a555726921  542b23885fc9  dm: Call io_hints even for device-less drivers
ok     ff9b2c3429f4  1de9254cce96  dm-ploop: Add ploop target driver
match  c3315bc5c55b  a3774f50fc5c  configs: Build DM_PLOOP as a module
match  ec0b243b3e34  f03c7e259d38  dm: Introduce dm_requeue_original_rq()
match  88e9f5ac6f5a  e5847595b24a  dm: Allow singleton target with devices attached
ok     1e2e7cdb1441  9b72f39ceb25  dm: Add push backup driver
                                      (blk_get_request() -> blk_mq_alloc_request(); blk_put_request() -> blk_mq_free_request())
ok     5a7f0fb9c363  96d93c59a303  dm: Add dm-tracking target
                                      (blk_get_request() -> blk_mq_alloc_request(); blk_put_request() -> blk_mq_free_request())
match  c7465cf34c0e  cbf8d653b11b  dm-ploop: Set PF_LOCAL_THROTTLE and PF_MEMALLOC_NOIO
match  6f26a0e025a0  05bd12c992e7  dm-qcow2: Introduce driver to create block devices over QCOW2 files
match  a4cc07be2a2a  210eb8b5c016  configs: Add more our dm configs
match  b89f63efb886  c44d2e6a1b36  kmapset: set of key-value mappings with build-in
match  ec57d050cc9a  c9374e40df07  ve/kernfs: implement ve-based permissions
match  14bd757a7ac9  decfd383a07b  ve/kernfs: hide forbidden entries in container
match  bc4a13cb7955  cb393382b4b3  ve/kernfs: add new interface to control per-VE nodes visibility
match  5349f0b75299  48d3ddd6ed61  kernfs/sysfs: add ioctl to get fd network namespace tag
match  2f1e87b1a058  aafe66da12ef  ve/sysfs: add dentries visibility filter
match  552e8b30157b  4dc542a7cf8b  ve/security: device_cgroup -- Allow manage devices in @pseudosuper state
ok     73d1b96df626  7513705b92c0  ve: Implement current_user_ns_initial() helper
                                      (added header from later fix)
match  d56c4edb1c62  d56f3c4042be  ve/fs: allow devices-realted mounts in VE initial user namespace
match  a68daac40677  92e391447d02  ve/device_cgroup: fake allowing all devices for docker inside VZCT
match  16d56cf8ff35  4e6d16c9031d  ve/netns: limit number of network namespaces per container
match  ed8fd0a66a93  b2c7adb4325f  ptrace: prevent tracing "init" from inside a CT
match  4aac8ccdfe26  c3941d0d0028  ve/mm/trace: introduce vps_dumpable flag
ok     39766ff223ea  4ea00f7cb8b7  ve/net: restrict ethtool to CT root userns and prohibit EEPROM change
match  50a96f44467f  355c93bc80b6  ve: Implement per ve randomize_va_space
match  86cdb6211500  2ed680af2a2e  ve: Virtualize /proc/cmdline
match  6fe536096048  81254f6cc5ef  ve: Prohibit module load and usermode_helper from inside CT
match  c7ae3ef38fd4  fb9e3562828d  ve: introduce ve_init_user_ns() helper
match  03e5f6bc77fd  d5099c37d54a  ve: allow mounts in non-init but VE-init user namespace
ok     1dc4733fc6c7  1d5db9c77a01  sched: Add ve name to sched_show_task()
match  6f5ac81b8f7a  aaa61113b506  sched: disable dumping cfs info on sysrq trigger
match  70bf0c6faab5  64ca1723d3e5  kernel: Account nr_zombie and nr_dead
match  6e308bbf5832  41f85e6b2537  sched: Count rq::nr_sleeping and cfs_rq::nr_unint
match  2a4e0992e664  dae0e2e7ed6a  sched: Account cfs_rq::nr_iowait
match  2dffecdef967  14ffe73545d8  sched: Add primitives to calculate nr running, sleeping, stopped and uninterruptible tasks
match  a105465c67ba  add0a7006202  sched: Split task_h_load()
ok     260ef05488fa  b80ac0b20f1a  sched: Port CONFIG_CFS_CPULIMIT feature
match  09a8cd1362dd  b35332489fbf  sched: Split tg_set_cfs_bandwidth() and export default_cfs_period()
match  bd932d7469f6  e793bc191187  sched: Add cpulimit cgroup interfaces
match  eea852b43b45  287ae5e10ef7  sched: prohibit setting affinity from inside a CT
match  c3be3726c66b  3a9e6a9287f9  sched: Return only virtual cpus in sched_getaffinity()
ok     23a702a3ba37  7b782088f66d  device_cgroup: add device visibility virtualization in CT
ok     32c299b48dc4  5db73cd5ae30  ve/kernel: allow to increase rlimit from inside container
match  1459acb3b071  99666b9bd36a  ve/net/cred: add ve_capable to check capabilities relative to the current VE (v2)
match  fb06c2bb58bb  4fdeadce4653  ve/net/dummy: enable support in a container
match  056a789afafb  5ba3b98b9994  ve/net/ip_gre: containerize per-net devices
match  1216260af351  6af73115a621  ve/net: ip_vti: skip per net init in ve
match  a4837da983de  1735be24d6fa  ve/net/vxlan: enable support in a container
ok     dcc04175d2e5  b9ddf56cd5ae  ve/uevent: Use own uevent_seqnum for every VE
match  77c0952bf8fb  c38ccb33677a  ve/kobj: Send events per VE instead of all net-namespaces broadcasting
ok     1c1482066275  32babb53acb6  ve/net: introduce vz_security_*_check checks
match  7f18e21686e9  8345408fffda  ve/quota: allow to manage quota in top CT user ns
match  ae0445922a43  a5d5a0c087c1  rh/lib/cpumask: Make CPUMASK_OFFSTACK usable without debug dependency
